output_filename,noise_path,noise_snr,s1_path,s1_start,s1_end,s1_tag,s1_snr,s2_path,s2_start,s2_end,s2_tag,s2_snr
1.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01oo030i_2.2368_40ja010h_-2.2368.wav,0.9682983433429824,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,10.4,23.52,0.288148432297163,3.8949669401815736,/data/lmorove1/hwang258/librilight/small/1579/shortpoetry_037_librivox_64kb_mp3/ephemera_hall_pw_64kb.flac,39.36,42.0,0.8027377644351259,3.3379788015907135
2.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/206o010f_0.23138_404o030g_-0.23138sp12.wav,0.8431488653865964,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,24.08,26.56,0.24455582666336412,4.737343903738439,/data/lmorove1/hwang258/librilight/small/1316/histofengch10_librivox_64kb_mp3/historyofengland02ch10_08_macaulay_64kb.flac,432.16,456.64,0.8936964972069013,4.22136566681352
3.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/40pa010y_2.0926_01da010d_-2.0926sp08.wav,1.2334116935517043,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,29.6,36.16,0.01865783737573401,4.877848519154526,/data/lmorove1/hwang258/librilight/small/5284/told_in_a_french_garden_1010_librivox_64kb_mp3/toldinafrenchgarden_01_aldrich_64kb.flac,401.36,412.16,1.168826300309131,-1.6417606775071791
4.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20ca010q_2.3499_02ea010u_-2.3499sp08.wav,0.043731403638841204,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,40.08,47.36,0.0370501195247235,-2.377393418678673,/data/lmorove1/hwang258/librilight/small/4211/shirley_1006_librivox_64kb_mp3/shirley_27_bronte_64kb.flac,929.36,931.92,1.1009123567278776,0.6870691235123179
5.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01nc020g_0.70547_208a010q_-0.70547sp08.wav,-2.892994101370183,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,48.16,55.76,0.04248214218604061,4.320403095741797,/data/lmorove1/hwang258/librilight/small/3521/american_housewife_0911_librivox_64kb_mp3/theamericanhousewife_08_anonymous_64kb.flac,484.0,497.92,1.1685429765736448,5.279775202478762
6.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20qa010d_2.2931_01uc020d_-2.2931sp08.wav,-1.5663206077923073,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,56.56,68.24,0.2878515656528713,3.9693743217469786,/data/lmorove1/hwang258/librilight/small/8425/treatise_on_good_works_1811_librivox_64kb_mp3/goodworks_04_luther_64kb.flac,191.04,200.08,0.8623803094480469,4.810098079212914
7.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20bo0101_2.3721_20ia010c_-2.3721.wav,1.4851365657402464,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,68.72,73.12,0.2872099273496296,-2.4218579748404983,/data/lmorove1/hwang258/librilight/small/361/o_canada_librivox_64kb_mp3/o_canada_weir_th_64kb.flac,14.48,24.56,0.6406784190762062,-0.5206379239653991
8.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01yo030a_0.20162_01xa010i_-0.20162.wav,0.449479426965647,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,73.76,105.44,0.09228250961720025,-1.4634547010909122,/data/lmorove1/hwang258/librilight/small/2952/kwaidan_1005_librivox_64kb_mp3/kwaidan_13_hearn_64kb.flac,66.0,89.84,0.8434750908852763,-2.1529797227578853
9.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20fc010b_1.0316_01lo030j_-1.0316.wav,-0.15713356585344762,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,106.4,120.72,0.015187708482003437,-2.8270638048318766,/data/lmorove1/hwang258/librilight/small/2144/shortpoetry_055_librivox_64kb_mp3/chilly_night_rossetti_dt_64kb.flac,80.56,82.4,1.2933734211594077,3.701820905897966
10.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20ia0111_1.0037_023o030k_-1.0037.wav,0.3851088669262248,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,121.36,129.2,0.022508945498306454,5.190370078117793,/data/lmorove1/hwang258/librilight/small/3093/lincoln_story_book2_0902_librivox_64kb_mp3/lincolnstorybook_287_williams_64kb.flac,12.48,33.84,1.2907533697837297,-2.8140475035494874
11.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20fa0113_1.987_20ko010g_-1.987sp12.wav,-1.8261110635669293,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,129.84,140.72,0.21949214179389437,2.311319063217092,/data/lmorove1/hwang258/librilight/small/398/badge_courage_librivox_64kb_mp3/redbadgeofcourage_01_crane_64kb.flac,773.52,780.8,1.2718707314506639,0.524164495241481
12.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/403a0114_1.4565_408c0218_-1.4565sp08.wav,2.5211145720858017,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,141.36,148.56,0.06371691461703442,1.8328016753949097,/data/lmorove1/hwang258/librilight/small/926/confessions_augustine_0911_librivox_64kb_mp3/confessions_01_11-19_augustine_64kb.flac,215.92,222.08,1.1894170022107091,4.244421973879839
13.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/028a010a_0.90358_20ja010d_-0.90358.wav,0.944708213080411,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,149.52,152.64,0.2777877206034904,3.938691882837685,/data/lmorove1/hwang258/librilight/small/2192/shortpoetry_057_librivox_64kb_mp3/meeting_longfellow_mds_64kb.flac,1.04,7.28,0.6649545526797432,4.5504918191944705
14.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20ba0108_2.238_20na010s_-2.238sp08.wav,-1.408637274385499,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,154.64,157.36,0.0255460393645623,-0.8246612845031605,/data/lmorove1/hwang258/librilight/small/447/shortpoetry_003_librivox_64kb_mp3/the_road_not_taken_frost_sw_64kb.flac,8.32,13.12,1.045551893752136,1.7905419068130097
15.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01kc020v_1.7406_01cc0215_-1.7406sp08.wav,-0.5526764758377816,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,157.84,165.36,0.26631028462979284,4.420030060249136,/data/lmorove1/hwang258/librilight/small/151/canterburytales_librivox_64kb_mp3/canterburytales_18_chaucer_64kb.flac,113.2,120.48,1.010484942607126,-0.9977358282666304
16.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20ao0108_0.21381_204a010f_-0.21381sp08.wav,-0.8154472143280271,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,166.0,178.0,0.22551965389839845,-0.13579734879295913,/data/lmorove1/hwang258/librilight/small/6965/toysofpeace_1204_librivox_64kb_mp3/toysofpeace_30_saki_64kb.flac,18.4,21.92,0.7603428016458409,-1.3008049672258588
17.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01ea010x_1.3639_023c0214_-1.3639.wav,2.787518108898091,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,178.64,182.08,0.01610605469369114,5.679312983209323,/data/lmorove1/hwang258/librilight/small/2317/masters_of_space_rjd_librivox_64kb_mp3/mastersospace_07_smithandevans_64kb.flac,1836.88,1838.4,1.1825935626784148,-1.4779829802526985
18.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/013o030g_2.1525_01va0104_-2.1525.wav,0.5490538221638355,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,182.88,195.76,0.2994292973858371,-0.26989448141790007,/data/lmorove1/hwang258/librilight/small/2368/dick_sands_the_boy_captain_act_librivox_64kb_mp3/dicksands_38_verne_64kb.flac,17.36,26.32,1.1283476870338927,0.19964149625237715
19.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20fa0113_1.2493_01ro030s_-1.2493.wav,-0.21818217133472517,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,196.24,203.04,0.28266193622880303,1.981232470906697,/data/lmorove1/hwang258/librilight/small/2333/myths_legends_0805_librivox_64kb_mp3/mythsandlegends_23_marshal_64kb.flac,14.24,21.44,1.2290371968803027,-1.3912354108361784
20.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01aa010o_0.49786_20mo010s_-0.49786sp12.wav,1.9579215601733457,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,203.52,210.16,0.1424779000568506,-0.6291539992660038,/data/lmorove1/hwang258/librilight/small/1264/extermination_american_bison_1503_librivox_64kb_mp3/exterminationamericanbison_31_hornaday_64kb.flac,491.6,524.0,0.6084700249579997,5.890264593613743
21.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/40ca0114_0.095481_01to0312_-0.095481sp12.wav,-2.3231194106469064,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,211.6,227.28,0.015540569872792176,3.0042683578554836,/data/lmorove1/hwang258/librilight/small/3269/short_poetry_collection_073_librivox_64kb_mp3/city_lovecraft_kp_64kb.flac,67.44,89.68,0.6689794321532591,-2.862323952853102
22.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/40ga010s_0.026915_40ba010b_-0.026915sp08.wav,0.2195129165619294,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,228.24,236.0,0.029606280724801114,4.536580926683749,/data/lmorove1/hwang258/librilight/small/4881/shirley_1006_librivox_64kb_mp3/shirley_04_bronte_64kb.flac,544.16,551.6,1.2360211064964584,-2.7645736999940165
23.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/40nc0204_2.3179_20la010b_-2.3179sp08.wav,-2.641083097990757,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,236.8,240.64,0.1199938031895761,5.6043550634765396,/data/lmorove1/hwang258/librilight/small/842/short_story_008_64kb_mp3/on_love_shelley_eg_64kb.flac,13.76,16.88,0.6859174236631087,3.6450300429206255
24.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/012o030e_0.63025_02eo030x_-0.63025sp12.wav,-0.5668216684638807,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,241.12,255.84,0.10419416190706146,4.376271665016205,/data/lmorove1/hwang258/librilight/small/2074/againstindifference_0801_librivox_64kb_mp3/againstindifference_webbe_ty_64kb.flac,20.48,25.76,0.9806126185275168,5.777867792172774
25.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20ka010t_2.4572_01jo0304_-2.4572sp12.wav,-1.0477284049252777,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,256.56,269.68,0.2248494047609868,2.637925480138457,/data/lmorove1/hwang258/librilight/small/3366/book_1001_nights2_0908_librivox_64kb_mp3/thousand_nights_vol02_22_burton_64kb.flac,22.8,68.72,1.1558100500961244,4.786111411180058
26.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01ac020i_1.6197_20ac010k_-1.6197.wav,-1.4702896960090042,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,270.16,275.2,0.25111673454178274,4.396520149333659,/data/lmorove1/hwang258/librilight/small/2165/shakespeare_monologues_vol_5_librivox_64kb_mp3/07_ohspiteohhelliseeyouallarebent_amidsummernightsdream_act3_scene2_64kb.flac,0.0,61.44,1.2465851869145612,0.9828570345171381
27.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/026a0109_1.0179_206a0114_-1.0179sp12.wav,1.7234318363084284,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,275.84,288.08,0.060091972685206,-1.0773354132200943,/data/lmorove1/hwang258/librilight/small/1881/hymns_of_the_christian_church_0805_librivox_64kb_mp3/hymns_01_eliot_64kb.flac,65.68,66.32,0.8559010564516413,5.860351657677448
28.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01ao0316_2.4911_015o0312_-2.4911.wav,2.400169155932179,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,288.56,291.84,0.13125796063559161,4.029148993714999,/data/lmorove1/hwang258/librilight/small/2052/short_scifi_001_0711_64kb_mp3/4ddoodler_waldeyer_edm_64kb.flac,250.88,272.8,1.2282205773287065,2.4398014980640985
29.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01ic0211_1.3323_40jc020t_-1.3323sp12.wav,2.740153354395959,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,292.4,296.4,0.160437480961859,4.228507018525342,/data/lmorove1/hwang258/librilight/small/1267/im_nobody_librivox_64kb_mp3/im_nobody_dickinson_mmv_64kb.flac,15.92,17.92,0.8219697545857937,4.92909139047645
30.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20qa010i_2.3957_40ia010a_-2.3957sp12.wav,0.24314111879774858,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,297.6,319.68,0.27066411609565055,-0.8793446731329828,/data/lmorove1/hwang258/librilight/small/810/badge_courage_librivox_64kb_mp3/redbadgeofcourage_04_crane_64kb.flac,195.28,199.36,0.7056492272363271,1.9254176161827479
31.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/024c020g_2.4409_01wa010z_-2.4409sp12.wav,-0.9899983185806831,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,321.36,332.32,0.14871774148340036,0.3521251832181087,/data/lmorove1/hwang258/librilight/small/1961/short_scifi_001_0711_64kb_mp3/martianvfw_vandenburg_cy_64kb.flac,442.24,467.44,0.9516613374182132,2.7192155502872533
32.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/206o0104_1.2967_01wc0204_-1.2967sp08.wav,-1.2690878954632425,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,333.12,335.36,0.15457189987201153,-2.364727181361951,/data/lmorove1/hwang258/librilight/small/1841/western_united_states_lc_librivox_64kb_mp3/westernunitedstates_01_fairbanks_64kb.flac,102.72,111.28,0.7706607045176136,-0.32989699650297855
33.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20oc0103_0.8158_404c020c_-0.8158sp12.wav,2.530618946617574,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,335.84,341.28,0.28918649364150206,-0.22524066678612886,/data/lmorove1/hwang258/librilight/small/2775/short_poetry_065_librivox_64kb_mp3/cargoes_masefield_sw_64kb.flac,24.32,38.48,1.1204476973878565,4.770865670813489
34.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/02bc020r_1.9908_20do010l_-1.9908sp08.wav,2.3885170874145008,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,342.0,346.56,0.2846422049803933,5.854613653457545,/data/lmorove1/hwang258/librilight/small/3821/institutes_christian_religion2_1003_librivox_64kb_mp3/institutesofchristianreligion2_24_calvin_64kb.flac,456.8,494.8,1.1284302295861584,2.6300776076672614
35.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/408c0213_0.90349_023c020b_-0.90349.wav,2.669371921364111,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,347.44,357.44,0.1633801345548422,3.5399655619672057,/data/lmorove1/hwang258/librilight/small/2255/againstindifference_0801_librivox_64kb_mp3/againstindifference_webbe_dc_64kb.flac,16.16,28.24,0.8585430859586074,0.37905317121855653
36.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/019c021f_0.0058283_014c0203_-0.0058283.wav,1.0493741624061652,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,358.8,362.56,0.09475572335402913,2.120024638164751,/data/lmorove1/hwang258/librilight/small/7009/toysofpeace_1204_librivox_64kb_mp3/toysofpeace_16_saki_64kb.flac,270.8,274.32,0.62462950578546,-2.459240621565031
37.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/20ia010i_2.3704_20uo010b_-2.3704.wav,1.5118761695133465,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,363.04,373.92,0.07779600103792131,5.037224478642228,/data/lmorove1/hwang258/librilight/small/26/sea_hawk_0710_librivox_64kb_mp3/sea_hawk_17_sabatini_64kb.flac,747.68,751.84,0.8118066379020463,5.4667682756568095
38.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/01uc020j_0.80104_407o030a_-0.80104sp08.wav,0.8004991937594044,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,375.12,391.28,0.10882909462708942,5.485596848750282,/data/lmorove1/hwang258/librilight/small/4792/shirley_1006_librivox_64kb_mp3/shirley_10_bronte_64kb.flac,448.8,458.8,1.2130883223938764,-0.9301503831197881
39.wav,/data/lmorove1/hwang258/librimix/wham_noise/tr/40ko0304_2.2564_20ca0108_-2.2564sp08.wav,-0.09488793890280123,/data/lmorove1/hwang258/librilight/small/705/man_property_librivox_64kb_mp3/manofproperty_12_galsworthy_64kb.flac,391.76,406.32,0.05928841387115663,4.038548030893626,/data/lmorove1/hwang258/librilight/small/1474/inthedesert_0812_librivox_64kb_mp3/inthedesert_crane_jcg_64kb.flac,33.84,35.04,1.1051023196461047,5.455177204738655
